country,male,female
Afghanistan,670,560
Argentina,473,529
Australia,639,772
Brazil,714,786
China,1016,975
Taiwan,618,609
Colombia,1512,1513
France,479,522
Germany,997,1067
Ghana,776,758
Hong Kong,599,653
India,1137,861
Indonesia,1053,962
Iran,1322,1316
Iraq,1307,1394
Israel,,
Japan,483,613
South Korea,593,607
Mexico,767,793
Netherlands,513,537
New Zealand,420,513
Peru,735,765
Pakistan,779,650
Romania,809,967
Russia,925,1108
Vietnam,767,728
South Africa,1495,1493
Spain,582,618
Sweden,505,498
Thailand,749,779
Trinidad and Tobago,501,501
Turkey,675,671
USA,603,646
